"Short desc","Keywords","Level","Vnum","Room","Location","Flags","Weight","Value","Material","Worn","Item type","AC/SLevel","Capacity","Spells","Affects","hit roll","damage roll","hp","mana","moves","armor class","strength","dexterity","intelligence","wisdom","constitution","Bit affects",","Other"
"","leggings golden",21,656,688,"on a Dragonlord","-E--M-----------------",100,2800,"gold","(legs)","armor","7/7/7/3",0,"","+1hit,-3arm",1,0,0,0,0,-3,0,0,0,0,0,"",,""
"","boots golden",21,657,688,"on a Dragonlord","-E--M-----------------",100,2800,"gold","(feet)","armor","7/7/7/3",0,"","+1hit,-3arm",1,0,0,0,0,-3,0,0,0,0,0,"",,""
"","gauntlets golden",21,658,688,"on a Dragonlord","-E--M-----------------",100,2800,"gold","(hands)","armor","7/7/7/3",0,"","+1hit,-3arm",1,0,0,0,0,-3,0,0,0,0,0,"",,""
"","sleeves golden",21,659,688,"on a Dragonlord","-E--M-----------------",100,2800,"gold","(arms)","armor","7/7/7/3",0,"","+1hit,-3arm",1,0,0,0,0,-3,0,0,0,0,0,"",,""
"","girth golden",21,661,688,"on a Dragonlord","-E--M-----------------",100,2800,"gold","(waist)","armor","7/7/7/3",0,"","+1hit,-3arm",1,0,0,0,0,-3,0,0,0,0,0,"",,""
"","orb dragonorb",17,663,690,"on a Dragonknight","-EN-M-----------------",300,9000,"gold","(hold)","staff",14,4,"heal","+1int,+2wis",0,0,0,0,0,0,0,0,1,2,0,"",,""
"","plate silver",25,631,699,"on Captain Jacklyn","-E--M-----------------",200,5000,"silver","(torso)","armor","8/8/8/2",0,"","+10man,+1str",0,0,0,10,0,0,1,0,0,0,0,"",,""
"","leggings brass",16,623,699,"on Captain Jacklyn","----M-----------------",100,1280,"brass","(legs)","armor","6/5/6/1",0,"","+5hp",0,0,5,0,0,0,0,0,0,0,0,"",,""
"","boots brass",16,624,699,"on Captain Jacklyn","----M-----------------",100,1280,"brass","(feet)","armor","6/5/6/1",0,"","+5hp",0,0,5,0,0,0,0,0,0,0,0,"",,""
"","sleeves silver",25,636,699,"on Captain Jacklyn","-E--M-----------------",200,2400,"silver","(arms)","armor","8/8/8/2",0,"","+1hit,+5man",1,0,0,5,0,0,0,0,0,0,0,"",,""
"","shield silver",25,637,699,"on Captain Jacklyn","-E--M-----------------",240,4200,"silver","(shield)","armor","8/8/8/3",0,"","+5man,-3arm",0,0,0,5,0,-3,0,0,0,0,0,"",,""
"","girth silver",25,638,699,"on Captain Jacklyn","-E--M-----------------",200,2400,"silver","(waist)","armor","8/8/8/2",0,"","+1dam,+5man",0,1,0,5,0,0,0,0,0,0,0,"",,""
"","bag",0,1111,1105,"on the shopkeeper","--------------------#-",10,11,"cloth","(take)","container",0,"50lbs, 5 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","lantern",0,1112,1105,"on the shopkeeper","--------------------#-",40,60,"brass","(hold)","light",0,200,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","dagger shiriff",6,1116,1110,"on a shiriff","----------------------",10,480,"steel","(wield)","weapon(pierce)","2d4",0,"none","+1hit,+1dam",1,1,0,0,0,0,0,0,0,0,0,"",,""
"","vest",0,616,1110,"on a shiriff","----------------------",100,270,"leather","(torso)","armor","1/2/2/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","thain girth",17,1108,1110,"on a shiriff","----------------------",40,3600,"cloth","(waist)","armor","5/5/5/0",0,"","+2wis",0,0,0,0,0,0,0,0,0,2,0,"",,""
"","pipeweed bread",0,1103,1114,"on a country bumpkin","----------------------",10,15,"food","(take)","food",30,24,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","bardiche",21,1113,1117,"on the battle master","----------------------",100,1810,"wood","(wield)","weapon(cleave)","2d11",0,"two-handed","+4hit",4,0,0,0,0,0,0,0,0,0,0,"",,""
"","wooden bardiche",3,1115,1117,"on a trainee","----------------------",100,980,"wood","(wield)","weapon(pound)","2d3",0,"two-handed","+4hit",4,0,0,0,0,0,0,0,0,0,0,"",,""
"","silvery cloak",15,1104,1128,"on the Elven Wizard","-E--M-----------------",30,1320,"cloth","(body)","armor","6/6/6/2",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","rainbow staff",5,1100,1128,"on the Elven Wizard","----M-----------------",80,550,"unknown","(take)","light",0,150,"(limited)","+1wis",0,0,0,0,0,0,0,0,0,1,0,"",,""
"","elven spear",16,1106,1135,"on Lurai Monk","-E--M---h-------------",50,500,"wood","(wield)","weapon(thrust)","2d8",0,"none","+2hit",2,0,0,0,0,0,0,0,0,0,0,"",,""
"","helm brass",16,622,1135,"on Lurai Monk","----M-----------------",100,1280,"brass","(head)","armor","6/5/6/1",0,"","+5hp",0,0,5,0,0,0,0,0,0,0,0,"",,""
"","mithril axe",17,1107,1136,"on the dwarven prince","------Rg-d---P--------",120,1440,"mithril","(wield)","weapon(chop)","2d8",0,"none","+2dam",0,2,0,0,0,0,0,0,0,0,0,"",,""
"","plate brass",16,621,1136,"on the dwarven prince","----M-----------------",100,2400,"brass","(torso)","armor","6/5/6/1",0,"","+10hp",0,0,10,0,0,0,0,0,0,0,0,"",,""
"","sting",17,1101,1137,"on the Keeper of the Ring","-E-----gh-------------",10,3500,"mithril","(wield)","weapon(bite)","2d7",0,"none","+2dex",0,0,0,0,0,0,0,2,0,0,0,"",,""
"","leggings brass",16,623,1137,"on the Keeper of the Ring","----M-----------------",100,1280,"brass","(legs)","armor","6/5/6/1",0,"","+5hp",0,0,5,0,0,0,0,0,0,0,0,"",,""
"","egg",0,1110,1142,"on a horse","----------------------",10,2,"food","(take)","food",12,12,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","whiskey shot",0,648,1143,"on a chicken","----------------------",10,12,"glass","(take)","drink container",0,2,"whisky","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","ale quart",0,649,1143,"on a chicken","----------------------",20,10,"clay","(take)","drink container",0,32,"ale","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","port brew quart",0,650,1143,"on a chicken","----------------------",20,18,"clay","(take)","drink container",0,32,"dark ale","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","crystalline oak GAIASTORM",60,192,1144,"in room: The Green Dragon","-------------P--------",2000,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","joy ",1,1013,1013,"in room: In the air ...","----------------------",1,0,"unknown","(none)","portal to In the Air",0,-1,"0","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","arrow",1,6210,6208,"on A bigger spider","---------------R------",1,10,"unknown","(hold)","weapon(none)","11d8",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","potion blue",10,6309,6350,"on the Ki-Rin","----M-----------------",20,1000,"glass","(hold)","potion",15,0,"cure poison,cure light,poison immunity","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","Altar Alabaster Crest Sacellum",60,193,6360,"in room: Yevaud's Lair","----------------------",2000,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","leggings",1,6204,6360,"on Yevaud","------------------B---",1,1000,"unknown","(legs)","armor","20/20/20/20",0,"","+5hit,+5dam,-50hp,+2dex",5,5,-50,0,0,0,0,2,0,0,0,"haste",,""
"","bow",1,6209,6360,"on Yevaud","----------------------",1,10,"unknown","(wield)","weapon(crush)","7d8",0,"vorpal","+5hit,+5dam",5,5,0,0,0,0,0,0,0,0,0,"",,""
"","visor black knight's",17,6304,6360,"on Yevaud","---VM-----------------",50,4600,"iron","(head)","armor","6/6/6/2",0,"","+1str,+2con",0,0,0,0,0,0,1,0,0,0,2,"",,""
"","huge wasp egg",0,6212,6373,"on the Hermit","----------------------",1,0,"unknown","(take)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sign",0,6156,6003,"in room: A trail through the dense forest","----------------------",100,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","mushroom",0,6011,6006,"in room: A small path in the dense forest","----------------------",10,0,"food","(take)","food",6,6,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","stump",50,6008,6008,"in room: The forest clearing","---V------------------",10000,0,"unknown","(none)","container",6108,"10000lbs, 100 max (0% bulk),"close nopick closed locked","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","big axe",8,6004,6009,"on John the Lumberjack","----------------------",9,760,"unknown","(wield)","weapon(chop)","1d12",0,"two-handed","+1hit,-2arm",1,0,0,0,0,-2,0,0,0,0,0,"",,""
"","shirt",3,6001,6009,"on John the Lumberjack","----------------------",20,610,"cloth","(torso)","armor","3/3/3/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","boots",3,6002,6009,"on John the Lumberjack","----------------------",40,310,"leather","(feet)","armor","3/3/3/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","fireplace",0,6003,6010,"in room: Inside the cabin","----------------------",0,0,"stone","(none)","container",0,"200lbs, 200 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","chest",0,6005,6010,"in room: Inside the cabin","----------------------",400,100,"wood","(take)","container",6006,"100lbs, 20 max (100% bulk),"close closed locked","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","water barrel",0,6013,6010,"in room: Inside the cabin","----------------------",200,20,"wood","(take)","drink container",0,256,"water","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","Altar Alabaster Crest Sacellum",60,193,6022,"in room: Inside the cave","----------------------",2000,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","blackberries",0,6010,6023,"in room: On a small, grassy field","----------------------",10,0,"food","(take)","food",3,3,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","none",0,6102,6103,"in room: A narrow trail through the deep, dark forest","----------------------",0,0,"wood","(none)","container",0,"1000lbs, 400 max (100% bulk),"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","toadstool",0,6106,6104,"in room: A small path in the deep, dark forest","----------------------",50,0,"wood","(take)","food",12,12,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","branch",0,6103,6113,"in room: A small path in the deep, dark forest","----------------------",200,0,"wood","(hold)","light",0,25,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","toadstool",0,6107,6119,"in room: A small path in the deep, dark forest","----------------------",50,0,"wood","(take)","food",12,12,"poisoned","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","branch",6,6104,6125,"in room: A small path on the river bank in the deep, dark forest","----------------------",300,290,"wood","(wield)","weapon(pound)","2d5",0,"none","-2hit",-2,0,0,0,0,0,0,0,0,0,0,"",,""
"","hammer sledge grey",38,7700,7706,"on The Astral Guardian","GE--------------------",550,5200,"iron","(wield)","weapon(crush)","4d8",0,"none","-2hit,+6dam,-1dex",-2,6,0,0,0,0,0,-1,0,0,0,"",,""
"","sword long",7,3022,7713,"on A poor soulless being","----------------------",50,1800,"steel","(wield)","weapon(slash)","4d9",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","dagger silvery",13,7707,7718,"on A githyanki hunter","----------------------",30,980,"silver","(wield)","weapon(pierce)","3d4",0,"none","+2hit,+1dam",2,1,0,0,0,0,0,0,0,0,0,"",,""
"","powder astral",0,7714,7720,"on An invisible stalker","----------------------",10,100,"sulfur","(take)","treasure",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sword thin",16,7708,7723,"on A githyanki warrior","----------------------",30,2300,"steel","(wield)","weapon(slice)","4d3",0,"none","+1hit,+3dam,+1dex",1,3,0,0,0,0,0,1,0,0,0,"",,""
"","vest splint",15,7715,7723,"on A githyanki warrior","----------------------",450,2100,"wood","(torso)","armor","6/6/6/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","knife silvery",6,7706,7729,"on An evil gish","----------------------",30,480,"iron","(wield)","weapon(stab)","2d4",0,"none","+1hit,+1dam",1,1,0,0,0,0,0,0,0,0,0,"",,""
"","sword thin two two-handed",24,7709,7730,"on A githyanki knight","----------------------",160,2600,"iron","(wield)","weapon(slash)","2d12",0,"two-handed","+1hit,+2dam",1,2,0,0,0,0,0,0,0,0,0,"",,""
"","skirt splint",20,7716,7730,"on A githyanki knight","----------------------",200,1450,"wood","(legs)","armor","7/7/7/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sleeves splint",20,7717,7730,"on A githyanki knight","----------------------",150,1450,"wood","(arms)","armor","7/7/7/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","amulet demon",11,7704,7733,"on A pitch-black nightmare","-----D-----v----------",50,2600,"ebony","(hold)","wand",25,5,"energy drain","-1int,-1wis",0,0,0,0,0,0,0,0,-1,-1,0,"",,""
"","potion vial murky",10,7721,7745,"on An insubstantial ghost","----------------------",10,760,"glass","(take)","potion",15,0,"pass door","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","talisman devilish",14,7705,7746,"on An evil night hag","-----D-----v----------",50,5300,"copper","(hold)","staff",25,5,"flamestrike","-10hp",0,0,-10,0,0,0,0,0,0,0,0,"",,""
"","potion silvery",1,7722,7762,"on An evil gish","----------------------",20,320,"glass","(take)","potion",20,0,"pass door,cause light,cure light","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sword silvery two-handed",19,7710,7764,"on A warlock of the Gith","-------g--------------",130,4600,"silver","(wield)","weapon(slash)","4d4",0,"two-handed","+2dam,+2dex",0,2,0,0,0,0,0,2,0,0,0,"",,""
"","scroll githyanki",7,7703,7764,"on A warlock of the Gith","----------------------",10,1240,"paper","(take)","scroll",24,0,"lightning bolt,lightning bolt","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","stone flame",20,7713,7768,"on The enslaved red dragon","----------------------",10,1440,"stone","(hold)","light",0,999,"(limited)","-2arm",0,0,0,0,0,-2,0,0,0,0,0,"",,""
"","Altar Alabaster Crest Sacellum",60,193,7772,"in room: A tiny cell","----------------------",2000,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","gauntlets ornate",20,7718,7776,"on A githyanki protector","----------------------",50,2700,"iron","(hands)","armor","7/7/7/0",0,"","+1hit,+1dam,+1str",1,1,0,0,0,0,1,0,0,0,0,"",,""
"","flail barbed iron",29,7711,7776,"on A githyanki protector","--------h--v----------",140,2800,"iron","(wield)","weapon(claw)","5d5",0,"none","+3hit",3,0,0,0,0,0,0,0,0,0,0,"",,""
"","tablet scroll black",12,7702,7776,"on A githyanki protector","-----------v----------",50,2100,"stone","(take)","scroll",30,0,"summon dead,charm person","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","candlestick",0,3400,3405,"in room: Inside the Chapel","----------------------",50,50,"wax","(hold)","light",0,24,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","rusty sword curved scimitar",3,3421,3410,"on the bony skeleton","----------------------",60,370,"iron","(wield)","weapon(slash)","2d3",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","auburn orb",15,3425,3411,"on The wraith","----M---h-------------",100,4700,"granite","(hold)","staff",10,2,"charm person","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","piece slime",0,3422,3417,"on the rock slug","----------------------",10,0,"food","(take)","food",15,15,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sarcophagus coffin",0,3415,3424,"in room: The Tomb of Crotus","----------------------",0,0,"stone","(none)","container",3416,"400lbs, 400 max (100% bulk),"close nopick closed locked","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","flask wineflask",0,3417,3424,"inside a stone sarcophagus in The Tomb of Crotus","----------------------",10,400,"leather","(hold)","drink container",0,30,"red wine","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","rapier thin",16,3414,3434,"on The X-ist flesh eater","--------h-------------",40,3500,"steel","(wield)","weapon(pierce)","4d2",0,"none","+1hit,+2dex",1,0,0,0,0,0,0,2,0,0,0,"",,""
"","head jubal mummy",0,3412,3434,"on The X-ist flesh eater","-E--------------------",200,0,"bone","(take)","container",-1,"3lbs, 3 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","ring black marble",3,3413,3434,"inside the mummified head of Jubal the Benevolent on The X-ist flesh eater","-E--M-----------------",20,26,"marble","(finger)","treasure",0,0,"","+10mov",0,0,0,0,10,0,0,0,0,0,0,"",,""
"","rathcor",0,3420,3448,"in room: The Lower Chambers and Tombs of the Undead","---------d------------",0,0,"unknown","(none)","container",0,"10lbs, 10 max (100% bulk),"close closed ","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","breast plate dented worn",15,3429,3449,"on Snapper Joe","----------------------",500,2100,"iron","(torso)","armor","6/6/6/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","tickler",7,3402,3452,"on The nightgaunt","-----D----------------",80,540,"dragonskin","(wield)","weapon(slime)","2d4",0,"none","+1hit,+2dam",1,2,0,0,0,0,0,0,0,0,0,"",,""
"","plasma webbing",10,3403,3455,"on the Mi-Go","G-N-------------------",100,1800,"pinkplasma","(torso)","armor","5/5/5/4",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","flaming black sword long longsword",28,3428,3460,"on The guardian vampire","----M-----------------",200,2200,"steel","(wield)","weapon(slash)","2d12",0,"vampiric","+1hit",1,0,0,0,0,0,0,0,0,0,0,"",,""
"","cape dark black",0,3427,3460,"on The guardian vampire","----M-----------------",100,100,"leather","(body)","armor","5/5/5/0",0,"","+10hp,+10arm",0,0,10,0,0,10,0,0,0,0,0,"",,""
"","scroll tightly rolled",8,3424,3460,"on The guardian vampire","----M-----------------",50,1070,"paper","(hold)","scroll",15,0,"colour spray,create food,magic missile","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","Altar Alabaster Crest Sacellum",60,193,3468,"in room: The Gilded Hallway","----------------------",2000,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","bar gold",0,3426,3471,"on The hunting horror","----------------------",30,1000,"gold","(take)","treasure",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","axe toy",0,6600,6602,"on the dwarven youth","----------------------",30,250,"wood","(wield)","weapon(chop)","1d5",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","potion amber",0,6646,6602,"on the nanny","----------------------",10,150,"glass","(take)","potion",5,0,"cure light,armor","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","meat steak",0,6644,6602,"on the nanny","----------------------",20,0,"meat","(take)","food",25,25,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","robe linen",7,6621,6602,"on the nanny","----M-----------------",50,780,"cloth","(body)","armor","1/2/1/1",0,"","+5man,+1wis",0,0,0,5,0,0,0,0,0,1,0,"",,""
"","broom",4,6622,6604,"on the nanny","----------------------",30,270,"wood","(wield)","weapon(pound)","2d3",0,"two-handed","-1hit,-1arm",-1,0,0,0,0,-1,0,0,0,0,0,"",,""
"","steak rotten",0,6645,6605,"on a raggedy anne doll","----------------------",20,0,"meat","(take)","food",4,4,"poisoned","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","ring pink ice",3,6601,6605,"on an old doll","----M-----------------",10,620,"ice","(finger)","treasure",0,0,"","+4hp,+1str",0,0,4,0,0,0,1,0,0,0,0,"",,""
"","gun toy",4,6647,6608,"on a toy soldier","----------------------",20,300,"wood","(wield)","weapon(stab)","2d3",0,"two-handed","-1arm",0,0,0,0,0,-1,0,0,0,0,0,"",,""
"","crystalline oak GAIASTORM",60,192,6631,"in room: The End?","-------------P--------",2000,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","spear jagged",10,2200,2203,"on the Draconian","----------------------",150,153,"wood steel","(wield)","weapon(thrust)","2d6",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","wand golden",14,2243,2208,"on a large hydra","-------g--------------",50,5500,"gold","(hold)","wand",25,10,"dispel magic","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","club stone",18,2223,2208,"on a large hydra","----------------------",180,940,"stone","(wield)","weapon(crush)","3d6",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","staff silver",14,2244,2208,"on a large hydra","----M--g--------------",50,11700,"silver","(hold)","staff",25,20,"faerie fog","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","hammer copper",15,2286,2210,"on A bodyguard","----------------------",120,750,"copper wood","(wield)","weapon(crush)","3d5",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","scimitar golden",16,2260,2211,"on A bodyguard","-------g--------------",100,2500,"gold","(wield)","weapon(slash)","3d5",0,"none","+1int,+1wis",0,0,0,0,0,0,0,0,1,1,0,"",,""
"","dagger silver",5,2287,2212,"on a concubine","----------------------",10,360,"silver","(wield)","weapon(pierce)","2d4",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","staff black",14,2250,2212,"on a concubine","G------g--------------",250,5300,"onyx","(hold)","staff",30,3,"energy drain","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","potion cyan",9,2251,2212,"on a concubine","----------------------",10,1060,"glass","(take)","potion",30,0,"poison,harm","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","bracelet platinum",20,2211,2214,"on the holy Draconian","-------g--------------",50,1450,"platinium","(wrist)","armor","7/7/7/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","belt silk white",17,2210,2214,"on the holy Draconian","----------------------",250,3900,"silk","(waist)","armor","6/6/6/2",0,"","+2str",0,0,0,0,0,0,2,0,0,0,0,"",,""
"","scroll",12,2270,2214,"on the holy Draconian","----M-----------------",10,1960,"vellum","(hold)","scroll",30,0,"armor,protection evil,shield","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","potion magenta",7,2252,2214,"on the holy Draconian","-----D----------------",10,600,"glass","(take)","potion",30,0,"cure light,cure light,cure light","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","sword emerald",28,2222,2216,"on the Draconian King","----------------------",240,2300,"steel","(wield)","weapon(slash)","4d6",0,"sharp","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","fur cloak",16,2276,2216,"on the Draconian King","----------------------",100,1910,"fur","(body)","armor","6/6/6/1",0,"","+10hp,+1str",0,0,10,0,0,0,1,0,0,0,0,"",,""
"","shield crested",25,2242,2216,"on the Draconian King","----------------------",200,3900,"steel","(shield)","armor","8/8/8/3",0,"","+1con",0,0,0,0,0,0,0,0,0,0,1,"",,""
"","gauntlets spiked",20,2254,2216,"on the Draconian King","----M--g--------------",100,2500,"iron","(hands)","armor","4/4/4/0",0,"","+2dam,+1str",0,2,0,0,0,0,1,0,0,0,0,"",,""
"","dagger silver",22,2201,2216,"on the draconian fool","----------------------",10,2000,"silver","(wield)","weapon(pierce)","3d6",0,"none","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","mail scale",25,2246,2220,"on the Great White Dragon","-------g--------------",200,3900,"steel","(torso)","armor","8/8/8/0",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","knife tooth dragon",30,2202,2222,"on the dragon master","----------------------",80,3200,"bone","(wield)","weapon(pierce)","5d5",0,"none","+2dam,+1dex",0,2,0,0,0,0,0,1,0,0,0,"",,""
"","sleeves dragon scale",20,2281,2222,"on the dragon master","----------------------",120,1590,"dragonskin","(arms)","armor","7/7/7/3",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","gloves dragon",17,2271,2222,"on the dragon master","----------------------",50,4000,"dragonskin","(hands)","armor","6/6/6/3",0,"","+2dex",0,0,0,0,0,0,0,2,0,0,0,"",,""
"","Altar Alabaster Crest Sacellum",60,193,2226,"in room: Lair","----------------------",2000,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","longsword black",21,5105,5101,"on The weapons master","----M--g--------------",0,2100,"adamantite","(wield)","weapon(slash)","3d6",0,"none","+2hit,+2dam",2,2,0,0,0,0,0,0,0,0,0,"",,""
"","longsword noble",15,5101,5104,"on the drow warrior noble","----------------------",10,1510,"adamantite","(wield)","weapon(slash)","2d7",0,"none","+2hit,+2dam",2,2,0,0,0,0,0,0,0,0,0,"",,""
"","whip snake two-headed",11,5102,5104,"on the drow mage noble","----M--g--------------",10,920,"leather","(wield)","weapon(whip)","2d6",0,"two-handed","+2hit,+2dam",2,2,0,0,0,0,0,0,0,0,0,"",,""
"","whip snake three-headed",15,5103,5104,"on the drow priestess","----M--g--------------",10,1020,"leather","(wield)","weapon(whip)","2d7",0,"none","+2hit,+2dam",2,2,0,0,0,0,0,0,0,0,0,"",,""
"","whip snake four-headed",24,5104,5108,"on the drow priestess","----M--g--------------",10,1530,"leather","(wield)","weapon(whip)","4d5",0,"none","+2hit,+2dam",2,2,0,0,0,0,0,0,0,0,0,"",,""
"","bracer iron",15,5108,5108,"on the drow priestess","----M--g--------------",30,1150,"iron","(wrist)","armor","4/7/7/2",0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","wand blue silver",9,5110,5116,"on The drow master","----M-----------------",10,1550,"silver","(hold)","wand",10,3,"lightning bolt","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","longsword commoner",11,5100,5118,"on the drow commoner","----------------------",20,910,"adamantite","(wield)","weapon(slash)","2d6",0,"none","+1hit,+1dam",1,1,0,0,0,0,0,0,0,0,0,"",,""
"","hat green",12,5114,5125,"on the matron mother","-----D----------------",10,1180,"cloth","(head)","armor","4/5/5/0",0,"","-2arm",0,0,0,0,0,-2,0,0,0,0,0,"",,""
"","Altar Alabaster Crest Sacellum",60,193,5133,"in room: Warrior's Barracks","----------------------",2000,0,"unknown","(none)","trash",0,0,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","dagger sacrificial",30,5113,5148,"on the yochlol","G---M-----------------",25,3300,"unknown","(wield)","weapon(stab)","4d8",0,"none","+3hit,+3dam",3,3,0,0,0,0,0,0,0,0,0,"",,""
"","gauntlets iron",17,5109,5150,"on The weapons master","-------g--------------",20,3600,"iron","(hands)","armor","5/5/5/0",0,"","+2str",0,0,0,0,0,0,2,0,0,0,0,"",,""
"","harp golden",7,5251,5204,"on a lamia","----M-----------------",500,2700,"gold","(hold)","staff",18,1,"call lightning","-2dex",0,0,0,0,0,0,0,-2,0,0,0,"",,""
"","long dagger slim",8,5252,5204,"on a lamia","----M-----------------",10,590,"steel","(wield)","weapon(pierce)","2d5",0,"none","+1hit,+1dam",1,1,0,0,0,0,0,0,0,0,0,"",,""
"","venison chunk",0,5219,5217,"in room: The meat stand","----------------------",200,0,"food","(take)","food",24,24,"","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","mandolin",9,5250,5218,"on a lamia","----M-----------------",100,2500,"wood","(hold)","staff",13,3,"cure critical","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","potion orange",4,5211,5219,"on The mimic","---VM-----------------",100,400,"glass","(take)","potion",20,0,"cell adjustment","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","scroll tattered",8,5215,5226,"on The mimic","----M-----------------",150,1280,"vellum","(take)","scroll",24,0,"enchant weapon","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","ball quartz",0,5214,5226,"on The mimic","----M-----------------",300,50,"quartz","(hold)","light",0,72,"(limited)","",0,0,0,0,0,0,0,0,0,0,0,"",,""
"","desk curved",0,5225,5231,"in room: South wing of the city hall","----------------------",0,0,"wood","(none)","container",5224,"100lbs, 100 max (100% bulk),"close closed locked","",0,0,0,0,0,0,0,0,0,0,0,"",,""
